"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima"
"ASV_3","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__trivialis"
"ASV_5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__cladosporioides"
"ASV_6","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Phallus","s__hadriani"
"ASV_7","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__trivialis"
"ASV_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"ASV_10","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula",NA
"ASV_13","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_14","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"ASV_15","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Tremateia","s__chromolaenae"
"ASV_16","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"ASV_18","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"ASV_19","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","s__marchalianum"
"ASV_21","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__setacea"
"ASV_24","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Phacidiaceae","g__Phacidium",NA
"ASV_25","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Xeropilidium","s__dennisii"
"ASV_27","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Stagonosporopsis",NA
"ASV_28","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__epicalamia"
"ASV_29","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"ASV_30","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__indica"
"ASV_32","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"ASV_33","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Calloriaceae_gen_Incertae_sedis",NA
"ASV_35","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"ASV_38","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiales","f__Blastocladiales_fam_Incertae_sedis","g__Blastocladiales_gen_Incertae_sedis",NA
"ASV_40","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae",NA,NA
"ASV_41","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium",NA
"ASV_42","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"ASV_43","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV_44","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"ASV_45","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__bellidis"
"ASV_46","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__setacea"
"ASV_47","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"ASV_48","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__yunnanensis"
"ASV_49","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV_50","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__sorghinum"
"ASV_51","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"ASV_52","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_53","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__yunnanensis"
"ASV_54","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"ASV_55","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__aureocitrinum"
"ASV_56","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","s__pseudoitalicus"
"ASV_57","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"ASV_61","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"ASV_62","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neoophiobolus","s__chromolaenae"
"ASV_63","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__confluens"
"ASV_65","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__inaequalis"
"ASV_67","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__cladosporioides"
"ASV_68","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Circinotrichum","s__maculiforme"
"ASV_70","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"ASV_72","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_73","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__rimosum"
"ASV_74","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"ASV_75","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__tallbackaensis"
"ASV_76","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"ASV_77","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Helicogoniaceae","g__Eleutheromyces",NA
"ASV_78","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_80","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__ledniceana"
"ASV_81","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_83","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_84","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_86","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__immutabilis"
"ASV_87","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Hyphodermella","s__rosae"
"ASV_89","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__rishikesha"
"ASV_90","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"ASV_92","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"ASV_93","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_94","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Butlerelfia","s__eustacei"
"ASV_96","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"ASV_98","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"ASV_99","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Paulisebacina",NA
"ASV_100","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV_101","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seimatosporium",NA
"ASV_102","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Hazslinszkyomyces",NA
"ASV_104","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"ASV_105","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria","s__contecta"
"ASV_106","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Briansuttonomyces","s__eucalypti"
"ASV_107","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"ASV_108","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"ASV_109","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"ASV_111","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_112","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"ASV_113","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_115","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium",NA
"ASV_116","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_117","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Paulisebacina",NA
"ASV_118","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"ASV_119","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Microsporomycetaceae","g__Microsporomycetaceae_gen_Incertae_sedis",NA
"ASV_120","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__immutabilis"
"ASV_121","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__acutofulvum"
"ASV_122","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_124","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster",NA
"ASV_126","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"ASV_127","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia",NA
"ASV_128","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_130","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Verrucoccum","s__coppinsii"
"ASV_131","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Stagonosporopsis","s__oculi-hominis"
"ASV_133","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_135","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_136","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Immersidiscosia","s__eucalypti"
"ASV_137","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii"
"ASV_139","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"ASV_140","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_141","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"ASV_143","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_144","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"ASV_145","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__symmetrica"
"ASV_146","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__frigida"
"ASV_148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia",NA
"ASV_149","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Tremiscus",NA
"ASV_150","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium",NA
"ASV_153","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_154","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","s__acuminata"
"ASV_155","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma","s__silvicola"
"ASV_156","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_157","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"ASV_159","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__rhodiolum"
"ASV_161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__aplospora"
"ASV_162","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
