ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_4998,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Boubovia,NA
ASV_5000,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5001,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Pleurophoma,NA
ASV_5006,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Pervetustaceae,g__Pervetustus,NA
ASV_5008,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,NA
ASV_5010,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae,NA,NA
ASV_5011,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetaceae,g__Phellinus,s__pomaceoides
ASV_5012,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Coprinus,NA
ASV_5013,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5016,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,f__Endosporiaceae,g__Endosporium,NA
ASV_5017,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5019,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,NA,NA
ASV_5020,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,NA
ASV_5021,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5022,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5023,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,f__Catenariaceae,g__Catenariaceae_gen_Incertae_sedis,NA
ASV_5024,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5026,k__Stramenopila,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Pythium,NA
ASV_5029,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Coniothyriaceae,g__Foliophoma,NA
ASV_5030,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Pseudosigmoidea,NA
ASV_5031,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Coniothyriaceae,g__Coniothyrium,s__dolichi
ASV_5032,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__globalpina
ASV_5034,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Phanerochaetaceae,g__Hyphodermella,s__rosae
ASV_5035,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__furfurea
ASV_5036,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae,g__Pluteus,s__assimilatus
ASV_5037,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA
ASV_5039,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__hastifer
ASV_5042,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5043,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__tsunedae
ASV_5046,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5047,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__amoeboidea
ASV_5048,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Tubakiaceae,g__Tubakia,s__iowensis
ASV_5049,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__radicina
ASV_5050,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__panaeoloides
ASV_5051,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA
ASV_5054,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
ASV_5059,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__globosum
ASV_5060,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hymenogastraceae,g__Gymnopilus,s__purpureosquamulosus
ASV_5062,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Montagnula,s__opulenta
ASV_5063,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces,s__samuelsii
ASV_5065,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Kondoaceae,g__Kondoa,s__yuccicola
ASV_5066,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Lopharia,NA
ASV_5068,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Calvatia,s__gigantea
ASV_5069,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
ASV_5070,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Keissleriella,s__poagena
ASV_5072,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,NA
ASV_5073,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
ASV_5075,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,NA
ASV_5076,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5080,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,NA
ASV_5083,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA
ASV_5086,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
ASV_5092,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Chlorophyllum,s__agaricoides
ASV_5093,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Deconica,NA
ASV_5094,k__Viridiplantae,p__Chlorophyta,c__Trebouxiophyceae,o__Trebouxiophyceae_ord_Incertae_sedis,f__Trebouxiophyceae_fam_Incertae_sedis,g__Trebouxiophyceae_gen_Incertae_sedis,NA
ASV_5095,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Zymoseptoria,s__brevis
ASV_5098,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Diplodia,NA
ASV_5099,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,s__gemmifer
ASV_5100,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporales_fam_Incertae_sedis,g__Entrophospora,s__infrequens
ASV_5101,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii
ASV_5103,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5104,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__indica
ASV_5107,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,NA
ASV_5108,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5109,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__albida
ASV_5110,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,NA,NA
ASV_5112,k__Stramenopila,p__Ochrophyta,c__Bacillariophyceae,o__Fragilariales,f__Fragilariaceae,g__Tabularia,NA
ASV_5114,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__rhodiolum
ASV_5119,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Calvatia,s__lilacina
ASV_5122,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
ASV_5123,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__Pulvinulaceae_gen_Incertae_sedis,NA
ASV_5125,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA
ASV_5126,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5127,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Tubeufia,s__helicomyces
ASV_5128,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Pseudosperma,s__rimosum
ASV_5129,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Phanerochaetaceae,g__Crepatura,NA
ASV_5130,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__clastophylla
ASV_5135,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5136,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,f__Acrospermaceae,g__Gonatophragmium,s__epilobii
ASV_5138,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Penidiella,NA
ASV_5139,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__domesticus
ASV_5140,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,NA
ASV_5144,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cyphellaceae,g__Limnoperdon,NA
ASV_5145,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5146,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__buxi
ASV_5148,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Efibulobasidium,NA
ASV_5150,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__incarnatum
ASV_5151,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__verrucispermus
ASV_5152,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,NA,NA
ASV_5154,k__Fungi,p__Ascomycota,c__Candelariomycetes,o__Candelariales,f__Candelariaceae,g__Candelaria,s__concolor
ASV_5157,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Acericola,s__italica
ASV_5158,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,s__proliferata
ASV_5159,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,NA,NA,NA
ASV_5160,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,NA
ASV_5161,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Pellidiscus,s__pallidus
ASV_5165,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Peltigerales,f__Pannariaceae,NA,NA
ASV_5167,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,NA
ASV_5168,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_5169,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnellula,NA
ASV_5170,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__bryophila
ASV_5173,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Echinoderma,s__asperum
ASV_5175,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
ASV_5176,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5177,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__byssisedum
ASV_5178,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5179,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Phallales,f__Gastrosporiaceae,g__Gastrosporium,s__gossypinum
ASV_5182,k__Alveolata,p__Dinophyta,c__Dinophyceae,o__Peridiniales,f__Peridiniaceae,g__Parvodinium,NA
ASV_5184,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,NA
ASV_5186,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeriopsis,NA
ASV_5187,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Oliveonia,NA
ASV_5188,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,NA
ASV_5189,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae,g__Peniophora,s__pseudoversicolor
ASV_5194,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5198,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Podoscyphaceae,g__Hypochnicium,NA
ASV_5199,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Dermoloma,NA
ASV_5202,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
ASV_5203,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Keissleriella,NA
ASV_5205,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Crepidotaceae,g__Simocybe,s__largispora
ASV_5206,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__undulatosporum
ASV_5209,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophoraceae_gen_Incertae_sedis,NA
ASV_5210,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,f__Acrospermaceae,g__Gonatophragmium,s__epilobii
ASV_5211,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__hiascens
ASV_5212,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Xenodidymella,NA
ASV_5213,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Sclerogastraceae,g__Sclerogaster,NA
ASV_5214,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5216,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Microthyriales,f__Microthyriales_fam_Incertae_sedis,g__Parazalerion,NA
ASV_5218,k__Stramenopila,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Pythium,s__chondricola
ASV_5220,k__Stramenopila,p__Ochrophyta,c__Bacillariophyceae,o__Naviculales,f__Naviculaceae,g__Navicula,s__cryptocephala
ASV_5221,k__Fungi,p__Basidiomycota,c__Basidiomycota_cls_Incertae_sedis,o__Basidiomycota_ord_Incertae_sedis,f__Basidiomycota_fam_Incertae_sedis,g__Basidiomycota_gen_Incertae_sedis,NA
ASV_5222,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5226,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5227,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Sirobasidiaceae,g__Fibulobasidium,s__murrhardtense
ASV_5228,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5230,k__Fungi,NA,NA,NA,NA,NA,NA
ASV_5233,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__spadiceogrisea
ASV_5234,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Extremaceae,g__Incertomyces,NA
ASV_5235,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__hiascens
ASV_5236,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_5237,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,NA
ASV_5238,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_5239,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Colacogloeaceae,g__Colacogloea,NA
ASV_5240,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__ellisii
